"shapeID";"year";"queries"
36005004200;2009;518,882914800112
36005004200;2010;543,789852411768
36005004200;2011;630,140434931914
36005004200;2012;662,418612477669
36005004200;2013;746,790862031045
36005004200;2014;787,139761852396
36005004200;2015;800,255164353488
36005004200;2016;843,045016765256
36005004200;2017;290,394926205884
36005004300;2004;502,962396019018
36005004300;2005;582,657717484043
36005004300;2006;376,487450828038
36005004300;2007;326,844075254809
36005004300;2008;305,458767006412
36005004300;2009;304,560909586054
36005004300;2010;273,964145222967
36005004300;2011;262,818976910886
36005004300;2012;284,935461401341
36005004300;2013;364,507127420504
36005004300;2014;426,532225764427
36005004300;2015;518,514298375911
36005004300;2016;628,648710254882
36005004300;2017;196,57883697457
36005004400;2004;440,055821697482
36005004400;2005;542,130852369001
36005004400;2006;493,887453992722
36005004400;2007;471,551019453973
36005004400;2008;475,710083542486
36005004400;2009;507,130551498229
36005004400;2010;531,466986036978
36005004400;2011;643,262005608773
36005004400;2012;662,53271309225
36005004400;2013;749,186974937254
36005004400;2014;790,448679675256
36005004400;2015;790,784813343233
36005004400;2016;821,251799380212
36005004400;2017;284,233493018489
36005004600;2004;456,247151210279
36005004600;2005;541,411237723988
36005004600;2006;519,253870229437
36005004600;2007;496,017917384421
36005004600;2008;488,303339830217
36005004600;2009;525,660628607319
36005004600;2010;550,896581452335
36005004600;2011;622,573084564644
36005004600;2012;662,352809430997
36005004600;2013;745,408998050935
36005004600;2014;785,23147349891
36005004600;2015;805,716817227257
36005004600;2016;855,613398679592
36005004600;2017;293,948290726167
36005004800;2004;466,951815895351
36005004800;2005;540,935474849095
36005004800;2006;536,024511569383
36005004800;2007;512,193855130752
36005004800;2008;496,629190140828
36005004800;2009;537,91152263579
36005004800;2010;563,742179074421
36005004800;2011;608,894901911496
36005004800;2012;662,233868712274
36005004800;2013;742,911242957751
36005004800;2014;781,782192655943
36005004800;2015;815,588896881268
36005004800;2016;878,331075955689
36005004800;2017;300,37108953721
36005005001;2004;465,01864659258
36005005001;2005;541,021393484774
36005005001;2006;532,995879661708
36005005001;2007;509,272621517676
36005005001;2008;495,125614016451
36005005001;2009;535,699117767064
36005005001;2010;561,422375911096
36005005001;2011;611,365062687259
36005005001;2012;662,255348371194
36005005001;2013;743,362315795065
36005005001;2014;782,405102764613
36005005001;2015;813,806085190935
36005005001;2016;874,228461102031
36005005001;2017;299,211187955548
36005005002;2004;463,773934018055
36005005002;2005;541,076714043642
36005005002;2006;531,045829961619
36005005002;2007;507,391722516172
36005005002;2008;494,157504236265
36005005002;2009;534,274613376218
36005005002;2010;559,928720821666
36005005002;2011;612,955528754708
36005005002;2012;662,26917851091
36005005002;2013;743,652748729121
36005005002;2014;782,806176816405
36005005002;2015;812,658183594428
36005005002;2016;871,586904416094
36005005002;2017;298,464360410833
36005005100;2004;197,500555732445
36005005100;2005;216,248938881917
36005005100;2006;258,240248550021
36005005100;2007;240,953642852492
36005005100;2008;241,412969855238
36005005100;2009;241,083796443704
36005005100;2010;236,72587406787
36005005100;2011;276,103855076109
36005005100;2012;354,859817092586
36005005100;2013;519,30287489643
36005005100;2014;570,918654005492
36005005100;2015;566,33162386073
36005005100;2016;617,083796443704
36005005100;2017;188,644528073363
36005005200;2004;560,164917541214
36005005200;2005;643,201443970742
36005005200;2006;577,028653271115
36005005200;2007;545,251312891027
36005005200;2008;583,875109931054
36005005200;2009;607,575678641112
36005005200;2010;622,781059191061
36005005200;2011;686,128608879919
36005005200;2012;686,101706130173
36005005200;2013;744,051837209888
36005005200;2014;762,326334039688
36005005200;2015;726,180446089807
36005005200;2016;713,881014799864
36005005200;2017;240,428040169861
36005005300;2004;389
36005005300;2005;485,011120052686
36005005300;2006;392,411355408099
36005005300;2007;416,482356373428
36005005300;2008;433,765183457682
36005005300;2009;472,814370776683
36005005300;2010;539,011120052686
36005005300;2011;526,608104684102
36005005300;2012;538,094417847766
36005005300;2013;548,325277599848
36005005300;2014;570,691402479182
36005005300;2015;576,008340039515
36005005300;2016;565,448245897349
36005005300;2017;166,452202687585
36005005400;2004;462,184577504076
36005005400;2005;541,14735211093
36005005400;2006;528,555838089719
36005005400;2007;504,990028228382
36005005400;2008;492,921338058726
36005005400;2009;532,455683143554
36005005400;2010;558,021493004891
36005005400;2011;614,986373189236
36005005400;2012;662,286838027733
36005005400;2013;744,023598582382
36005005400;2014;783,318302804242
36005005400;2015;811,192443698204
36005005400;2016;868,213936703095
36005005400;2017;297,510746502446
36005005600;2004;558,676110411479
36005005600;2005;592,153696698241
36005005600;2006;575,409275606861
36005005600;2007;456,153696698241
36005005600;2008;509,334174023088
36005005600;2009;508,62778945431
36005005600;2010;525,222782682058
36005005600;2011;718,128662836983
36005005600;2012;612,880846293667
36005005600;2013;708,880846293667
36005005600;2014;700,322142823174
36005005600;2015;691,070832749164
36005005600;2016;688,759945821987
36005005600;2017;226,078595114468
36005005902;2004;354,231137911069
36005005902;2005;279,560083341766
36005005902;2006;331,748100539659
36005005902;2007;294,026666078288
36005005902;2008;333,872235475106
36005005902;2009;379,982868040175
36005005902;2010;376,489619225364
36005005902;2011;364,536708190455
36005005902;2012;484,942699591508
36005005902;2013;582,322024914273
36005005902;2014;640,479746444432
36005005902;2015;623,956201961887
36005005902;2016;621,496539741788
36005005902;2017;206,986497629621
36005006000;2004;470,087318519786
36005006000;2005;421,822672919288
36005006000;2006;446,755678894357
36005006000;2007;344,088428686194
36005006000;2008;376,871093073853
36005006000;2009;351,027625951385
36005006000;2010;399,003970957306
36005006000;2011;457,635183591147
36005006000;2012;434,3840307373
36005006000;2013;468,756789060765
36005006000;2014;485,992698543471
36005006000;2015;484,016353537549
36005006000;2016;525,227497859768
36005006000;2017;157,824893252103
36005006100;2004;344,789094011315
36005006100;2005;272,128110412268
36005006100;2006;326,590681602819
36005006100;2007;289,847834324336
36005006100;2008;328,106505586742
36005006100;2009;371,757446043471
36005006100;2010;369,189887807067
36005006100;2011;359,776013787218
36005006100;2012;479,044728191942
36005006100;2013;579,465608272331
36005006100;2014;637,70267470921
36005006100;2015;619,909611719135
36005006100;2016;619,063295935689
36005006100;2017;205,135116472807
36005006200;2004;334,013174579966
36005006200;2005;396,530363289765
36005006200;2006;327,020791134008
36005006200;2007;312,519658943542
36005006200;2008;331,02305551494
36005006200;2009;323,027995982427
36005006200;2010;372,522335030098
36005006200;2011;466,547449073157
36005006200;2012;499,033759861162
36005006200;2013;540,04508176582
36005006200;2014;603,041376415205
36005006200;2015;561,539214960679
36005006200;2016;582,030877921794
36005006200;2017;195,013174579966
36005006300;2004;343,170503214478
36005006300;2005;253,888849459205
36005006300;2006;271,410458220761
36005006300;2007;310,675128721614
36005006300;2008;267,830838126066
36005006300;2009;261,508826962346
36005006300;2010;266,410458220761
36005006300;2011;267,566167625213
36005006300;2012;337,708424560183
36005006300;2013;429,92500541244
36005006300;2014;432,385742726191
36005006300;2015;426,616446718203
36005006300;2016;458,809653416435
36005006300;2017;119,559106055336
36005006400;2004;333,117536766833
36005006400;2005;394,46619801731
36005006400;2006;325,607362710158
36005006400;2007;311,183199394258
36005006400;2008;329,455689341957
36005006400;2009;321,12476562952
36005006400;2010;371,003949050021
36005006400;2011;463,321753511796
36005006400;2012;496,738687965009
36005006400;2013;536,980321124006
36005006400;2014;600,228513908334
36005006400;2015;558,873293032526
36005006400;2016;579,931726797264
36005006400;2017;194,117536766833
36005006500;2004;235,810964211641
36005006500;2005;283,214287036608
36005006500;2006;286,583721489913
36005006500;2007;267,89551548217
